In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 18 after cleaning, 31 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 0 after cleaning, 49 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-611_0_T-1, 23 obstacles before cleaning, 8 after cleaning, 15 removed in total
In scenario USA_ArgoversePIT-669_0_T-1, 8 obstacles before cleaning, 4 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-35_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoverseMIA-118_0_T-1, 16 obstacles before cleaning, 12 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-473_0_T-1, 9 obstacles before cleaning, 7 after cleaning, 2 removed in total
In scenario USA_ArgoversePIT-251_0_T-1, 16 obstacles before cleaning, 9 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-896_0_T-1, 43 obstacles before cleaning, 21 after cleaning, 22 removed in total
